favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
95627,Twitter for iPhone,b'Stock Market just hit another record high! Jobs looking very good.',foxandfriends,FALSE,Tue Oct 24 14:35:32 +0000 2017,18104,9.22834E+17
49800,Twitter for iPhone,b'The Pittsburgh Post Gazette just endorsed Rick Saccone for Congress. He will be much better for steel and business.\xe2\x80\xa6 https://t.co/ZCmxt9gOQS',realDonaldTrump,FALSE,Mon Mar 12 14:43:36 +0000 2018,12575,9.73208E+17
133947,Twitter for iPhone,"b'Mexico was just ranked the second deadliest country in the world, after only Syria. Drug trade is largely the cause. We will BUILD THE WALL!'",realDonaldTrump,FALSE,Thu Jun 22 22:15:39 +0000 2017,40924,8.78014E+17
161271,Twitter for iPhone,"b'Congratulations to Maxine Waters, whose crazy rants have made her, together with Nancy Pelosi, the unhinged FACE of\xe2\x80\xa6 https://t.co/CusnE1izm7'",realDonaldTrump,FALSE,Wed Jun 27 11:18:02 +0000 2018,38400,1.01193E+18
76667,Twitter for iPhone,b'Farm Bill just passed in the House. So happy to see work requirements included. Big win for the farmers!',realDonaldTrump,FALSE,Thu Jun 21 20:46:10 +0000 2018,15765,1.0099E+18
99389,Twitter for iPhone,b'The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better ti\xe2\x80\xa6 https://t.co/BZHVReTuYi',realDonaldTrump,FALSE,Sun Mar 04 17:42:03 +0000 2018,19086,9.70354E+17
86511,Twitter for iPhone,"b'\xe2\x80\x9cJohn Brennan, no single figure in American history has done more to discredit the intelligence community than this\xe2\x80\xa6 https://t.co/DETDPIYoeT'",realDonaldTrump,FALSE,Sat Jun 02 12:06:47 +0000 2018,23486,1.00288E+18
102385,Twitter for iPhone,b'The people of Iran are finally acting against the brutal and corrupt Iranian regime. All of the money that Presiden\xe2\x80\xa6 https://t.co/AjDsIsx0Gk',realDonaldTrump,FALSE,Tue Jan 02 12:09:17 +0000 2018,26778,9.48164E+17
29392,Twitter for iPhone,"b'...your Social Security and Medicare! Cast your early vote, or vote on August 7th, Election Day. He has my full and total Endorsement!'",realDonaldTrump,FALSE,Mon Jul 30 22:28:21 +0000 2018,5901,1.02406E+18
102792,Twitter for iPhone,b'Camp David is a very special place. An honor to have spent the weekend there. Military runs it so well and are so proud of what they do!',realDonaldTrump,FALSE,Sun Jun 18 21:51:39 +0000 2017,16944,8.76558E+17
82792,Twitter for iPhone,b'This whole Russia Probe is Rigged. Just an excuse as to why the Dems and Crooked Hillary lost the Election and Stat\xe2\x80\xa6 https://t.co/VctDHQf9VQ',realDonaldTrump,FALSE,Sat May 26 19:41:50 +0000 2018,21316,1.00046E+18
76687,Twitter for iPhone,"b'...Maybe the best thing to do would be to cancel all future ""press briefings"" and hand out written responses for the sake of accuracy???'",realDonaldTrump,FALSE,Fri May 12 12:07:36 +0000 2017,17499,8.63003E+17
69330,Twitter for iPhone,"b'Presidents and their administrations have been talking to North Korea for 25 years, agreements made and massive amounts of money paid......'",realDonaldTrump,FALSE,Sat Oct 07 19:40:17 +0000 2017,16726,9.1675E+17
79162,Twitter for iPhone,"b'\xe2\x80\x9cWe already have a smoking gun about a campaign getting dirt on their opponent, it was Hillary Clinton. How is it O\xe2\x80\xa6 https://t.co/qiLsNEdAct'",realDonaldTrump,FALSE,Wed Aug 01 15:56:31 +0000 2018,21649,1.02469E+18
71747,Twitter for iPhone,"b'GREAT EVENING last night in Pensacola, Florida. Arena was packed to the rafters, the crowd was loud, loving and rea\xe2\x80\xa6 https://t.co/I0mrbhZT3g'",realDonaldTrump,FALSE,Sat Dec 09 12:41:39 +0000 2017,13151,9.39475E+17
37168,Twitter for iPhone,b'I will be interviewed on @FaceTheNation this morning at 10:00 A.M. Have a great day!',realDonaldTrump,FALSE,Sun Apr 30 11:33:12 +0000 2017,5465,8.58645E+17
66416,Twitter for iPhone,b'Working on major Trade Deal with the United Kingdom. Could be very big &amp; exciting. JOBS! The E.U. is very protectionist with the U.S. STOP!',realDonaldTrump,FALSE,Tue Jul 25 12:16:34 +0000 2017,15351,8.89822E+17
77073,Twitter for iPhone,"b'KAREN HANDEL FOR CONGRESS. She will fight for lower taxes, great healthcare strong security-a hard worker who will never give up! VOTE TODAY'",realDonaldTrump,FALSE,Tue Jun 20 10:02:06 +0000 2017,19879,8.77104E+17
59049,Twitter for iPhone,"b'We will always ENFORCE our laws, PROTECT our borders, and SUPPORT our police! #LESM\nHarrisburg, Pennsylvania\xe2\x80\xa6 https://t.co/qLH19jIBs0'",realDonaldTrump,FALSE,Fri Jul 28 16:13:21 +0000 2017,13094,8.90968E+17
65891,Twitter for iPhone,"b'... Supreme Court pick, economic enthusiasm, deregulation &amp; so much more have driven the Trump base even closer together. Will never change!'",realDonaldTrump,FALSE,Mon Aug 07 11:09:36 +0000 2017,13501,8.94516E+17
44025,Twitter for iPhone,"b'""Dow Passes 23,000 for the First Time, Fueled by Strong Earnings""\n#Dow23K\xf0\x9f\x93\x88https://t.co/wnkrddYlb9 https://t.co/wlP0NCNcou'",realDonaldTrump,FALSE,Tue Oct 17 16:16:28 +0000 2017,10770,9.20323E+17
91338,Twitter for iPhone,"b'My highly respected nominee for CIA Director, Gina Haspel, has come under fire because she was too tough on Terrori\xe2\x80\xa6 https://t.co/sPDbQc2rmd'",realDonaldTrump,FALSE,Mon May 07 11:04:47 +0000 2018,24307,9.93447E+17
116393,Twitter for iPhone,"b'Wow, CNN had to retract big story on ""Russia,"" with 3 employees forced to resign. What about all the other phony stories they do? FAKE NEWS!'",realDonaldTrump,FALSE,Tue Jun 27 10:33:42 +0000 2017,31424,8.79649E+17
107797,Twitter for iPhone,b'A total WITCH HUNT with massive conflicts of interest!',realDonaldTrump,FALSE,Mon Mar 19 13:07:50 +0000 2018,23641,9.75721E+17
64353,Twitter for iPhone,b'Our thoughts and prayers are with everyone in the path of California\xe2\x80\x99s wildfires. I encourage everyone to heed the\xe2\x80\xa6 https://t.co/CO5bDgsj2t',realDonaldTrump,FALSE,Wed Dec 06 16:11:55 +0000 2017,13155,9.38441E+17
53464,Twitter for iPhone,b'Join me at 11:00am:\nWatch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM',foxandfriends,FALSE,Fri Feb 17 15:34:14 +0000 2017,9294,8.32614E+17
